Date,Name,Type,Country Name,Country Code
2023-02-15,Liberation Day,['National holiday'],Afghanistan,AF
2023-03-21T01:54:20+04:30,March Equinox,['Season'],Afghanistan,AF
2023-03-21,Nauruz,['Observance'],Afghanistan,AF
2023-03-23,First Day of Ramadan,['Observance'],Afghanistan,AF
2023-04-22,Eid al-Fitr,['National holiday'],Afghanistan,AF
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Afghanistan,AF
2023-04-24,Eid al-Fitr Holiday,['National holiday'],Afghanistan,AF
2023-04-28,Afghan Victory Day,['National holiday'],Afghanistan,AF
2023-05-01,Labor Day,['National holiday'],Afghanistan,AF
2023-06-21T19:27:49+04:30,June Solstice,['Season'],Afghanistan,AF
2023-06-27,Day of Arafat,['National holiday'],Afghanistan,AF
2023-06-28,Eid al-Qurban,['National holiday'],Afghanistan,AF
2023-06-29,Eid al-Qurban Holiday,['National holiday'],Afghanistan,AF
2023-06-30,Eid al-Qurban Holiday,['National holiday'],Afghanistan,AF
2023-07-28,Ashura,['National holiday'],Afghanistan,AF
2023-08-19,Independence Day (National Day),['National holiday'],Afghanistan,AF
2023-08-31,Anniversary of the Withdrawal of Foreign Troops,['National holiday'],Afghanistan,AF
2023-09-09,Martyrs and Ahmad Shah Masoud Day,['National holiday'],Afghanistan,AF
2023-09-23T11:20:01+04:30,September Equinox,['Season'],Afghanistan,AF
2023-09-27,The Prophet's Birthday,['National holiday'],Afghanistan,AF
2023-12-22T07:57:21+04:30,December Solstice,['Season'],Afghanistan,AF
